answered,aget,age2,age3,sex,children,distancet,distance2,distance3,pets
t,,t,,t,t,t,,,
t,,t,,t,t,t,,,t
t,,t,,t,t,,t,,
t,,t,,t,t,,t,,
t,,t,,t,t,,t,,
t,,t,,t,t,,t,,t
t,,t,,,t,,t,,
t,,t,,t,t,,t,,t
t,,,t,t,t,,t,,
t,,,t,t,t,,t,,
t,t,,,t,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,t,,t,,t
t,,t,,t,t,,,t,
t,,t,,t,t,,,t,
t,t,,,,t,,,t,
t,,t,,,t,,,t,t
t,,t,,t,t,,t,,
t,t,,,t,t,,t,,
t,,t,,,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,t,,t,,
t,,t,,t,t,,t,,
t,,,t,t,t,,t,,
t,,t,,t,t,,t,,t
t,,t,,,t,,t,,
t,,t,,,t,,t,,
t,,t,,t,t,,t,,
t,,t,,t,t,,t,,t
t,,t,,,t,,t,,
t,t,,,t,t,,t,,
t,,t,,t,t,,t,,
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,t,,
t,t,,,t,t,,t,,t
t,t,,,,t,t,,,
t,,t,,t,t,t,,,
t,,t,,t,t,t,,,t
t,,t,,t,,,t,,
t,,t,,t,t,,t,,
t,,t,,t,t,,t,,
t,,t,,t,t,,t,,t
t,,t,,,t,,t,,
t,,t,,t,,,t,,t
t,,,t,t,,,t,,
t,,,t,t,t,,t,,
t,t,,,t,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,,t,
t,,t,,t,t,,,t,
t,t,,,,t,,,t,
t,,t,,,t,,,t,t
t,,t,,t,,,t,,
t,t,,,t,t,,t,,
t,,t,,,t,,t,,t
t,,t,,t,,,t,,
t,,t,,t,,,t,,
t,,t,,t,,,t,,
t,,,t,t,,,t,,
t,,t,,t,t,,t,,t
t,,t,,,,,t,,
t,,t,,,t,,t,,
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,,t,,t,,
t,t,,,t,,,t,,
t,,t,,t,t,,t,,
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,t,,
t,t,,,t,t,,t,,t
t,t,,,,t,t,,,
t,,t,,t,t,t,,,
t,,t,,t,t,t,,,t
t,,t,,t,,,t,,
t,,t,,t,t,,t,,
t,,t,,t,t,,t,,
t,,t,,t,t,,t,,t
t,,t,,,t,,t,,
t,,t,,t,,,t,,t
t,,,t,t,,,t,,
t,,,t,t,t,,t,,
t,t,,,t,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,,t,
t,,t,,t,t,,,t,
t,t,,,,t,,,t,
t,,t,,,t,,,t,t
t,,t,,t,,,t,,
t,t,,,t,t,,t,,
t,,t,,,t,,t,,t
t,,t,,t,,,t,,
t,,t,,t,,,t,,
t,,t,,t,,,t,,
t,,,t,t,,,t,,
t,,t,,t,t,,t,,t
t,,t,,,,,t,,
t,,t,,,t,,t,,
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,,t,,t,,
t,t,,,t,,,t,,
t,,t,,t,t,,t,,
t,t,,,t,t,t,,,t
t,,t,,t,t,,t,,
t,,,t,t,,,t,,t
t,,t,,t,t,,t,,t
t,t,,,t,t,,t,,t
t,t,,,,t,t,,,
t,,t,,t,t,,,t,
t,t,,,t,t,,,t,t
t,,,t,,,,t,,
t,,t,,t,t,,t,,
t,t,,,t,t,,t,,
t,t,,,t,t,,t,,t
t,,t,,,t,,,t,
t,,t,,t,,,,t,t
t,,,t,t,,,t,,
t,,,t,t,t,,t,,
t,t,,,t,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,,t,
t,,t,,t,t,,,t,
t,t,,,,t,,,t,
t,t,,,t,t,,,t,t
t,,t,,t,,,t,,
t,,,t,t,t,,t,,
t,,t,,,t,,t,,t
t,t,,,t,,,t,,
t,,t,,,,,t,,
t,,,t,t,,,,t,
t,,,t,t,,,,t,
t,,t,,t,t,,,t,t
t,,t,,t,,,,t,
t,,t,,t,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,t,,
t,t,,,t,,,t,,
t,t,,,t,,,t,,
t,,t,,t,t,,t,,
t,,,t,t,,,t,,t
t,,t,,t,t,,t,,t
t,t,,,t,t,,t,,t
t,t,,,t,t,t,,,
t,,t,,t,t,,,t,
t,t,,,t,t,,,t,t
t,,,t,t,,,t,,
t,,t,,t,t,,t,,
t,t,,,t,t,,t,,
t,t,,,t,t,,t,,t
t,,t,,t,t,,,t,
t,,t,,t,,,,t,t
t,,,t,t,,,t,,
t,,,t,t,t,,t,,
t,t,,,t,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,,t,
t,,t,,t,t,,,t,
t,t,,,t,t,,,t,
t,t,,,t,t,,,t,t
t,,t,,t,,,t,,
t,,,t,t,t,,t,,
t,,t,,t,t,,t,,t
t,t,,,t,,,t,,
t,,t,,t,,,t,,
t,,,t,t,,,,t,
t,,,t,t,,,,t,
t,,t,,t,t,,,t,t
t,,t,,t,,,,t,
t,,t,,t,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,t,,
t,t,,,t,,,t,,
t,t,,,t,,,t,,
t,,t,,t,,,t,,
t,,,t,t,,,,t,
t,,,t,t,,,,t,
t,,t,,t,t,,,t,t
t,,t,,t,,,,t,
t,,t,,t,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,t,,
t,t,,,t,,,t,,
t,t,,,t,,,t,,
t,,t,,t,t,,t,,
t,,,t,t,,,t,,t
t,,t,,t,t,,t,,t
t,t,,,t,t,,t,,t
t,t,,,t,t,t,,,
t,,t,,t,t,,,t,
t,t,,,t,t,,,t,t
t,,,t,t,,,t,,
t,,t,,t,t,,t,,
t,t,,,t,t,,t,,
t,t,,,t,t,,t,,t
t,,t,,t,t,,,t,
t,,t,,t,,,,t,t
t,,,t,t,,,t,,
t,,,t,t,t,,t,,
t,t,,,t,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,,t,
t,,t,,t,t,,,t,
t,t,,,t,t,,,t,
t,t,,,t,t,,,t,t
t,,t,,t,,,t,,
t,,,t,t,t,,t,,
t,,t,,t,t,,t,,t
t,t,,,t,,,t,,
t,,t,,t,,,t,,
t,,,t,t,,,,t,
t,,,t,t,,,,t,
t,,t,,t,t,,,t,t
t,,t,,t,,,,t,
t,,t,,t,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,t,,
t,t,,,t,,,t,,
t,t,,,t,,,t,,
t,,t,,t,,,t,,
t,,,t,t,,,,t,
t,,,t,t,,,,t,
t,,t,,t,t,,,t,t
t,,t,,t,,,,t,
t,,t,,t,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,t,,
t,t,,,t,,,t,,
t,t,,,t,,,t,,
t,,t,,t,t,,t,,
t,,,t,t,,,t,,t
t,,t,,t,t,,t,,t
t,t,,,t,t,,t,,t
t,t,,,t,t,t,,,
t,,t,,t,t,,,t,
t,t,,,t,t,,,t,t
t,,,t,t,,,t,,
t,,t,,t,t,,t,,
t,t,,,t,t,,t,,
t,t,,,t,t,,t,,t
t,,t,,t,t,,,t,
t,,t,,t,,,,t,t
t,,,t,t,,,t,,
t,,,t,t,t,,t,,
t,t,,,t,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,,t,
t,,t,,t,t,,,t,
t,t,,,t,t,,,t,
t,t,,,t,t,,,t,t
t,,t,,t,,,t,,
t,,,t,t,t,,t,,
t,,t,,t,t,,t,,t
t,t,,,t,,,t,,
t,,t,,t,,,t,,
t,,,t,t,,,,t,
t,,,t,t,,,,t,
t,,t,,t,t,,,t,t
t,,t,,t,,,,t,
t,,t,,t,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,t,,
t,t,,,t,,,t,,
t,t,,,t,,,t,,
t,,t,,t,,,t,,
t,,,t,t,,,,t,
t,,,t,t,,,,t,
t,,t,,t,t,,,t,t
t,,t,,t,,,,t,
t,,t,,t,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,t,,
t,t,,,t,,,t,,
t,t,,,t,,,t,,
t,,t,,t,t,,t,,
t,,,t,t,,,t,,t
t,,t,,t,t,,t,,t
t,t,,,t,t,,t,,t
t,t,,,t,t,t,,,
t,,t,,t,t,,,t,
t,t,,,t,t,,,t,t
t,,,t,,,,t,,
t,,t,,t,t,,t,,
t,t,,,t,t,,t,,
t,t,,,t,t,,t,,t
t,,t,,,t,,,t,
t,,t,,t,,,,t,t
t,,,t,t,,,t,,
t,,,t,t,t,,t,,
t,t,,,t,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,,t,
t,,t,,t,t,,,t,
t,t,,,,t,,,t,
t,t,,,t,t,,,t,t
t,,t,,t,,,t,,
t,,,t,t,t,,t,,
t,,t,,,t,,t,,t
t,t,,,t,,,t,,
t,,t,,,,,t,,
t,,,t,,,,,t,
t,,,t,,,,,t,
t,,t,,t,t,,,t,t
t,,t,,,,,,t,
t,,t,,,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,,t,,t,,
t,t,,,t,,,t,,
t,t,,,t,,,t,,
t,,t,,,,,t,,
t,,,t,,,,,t,
t,,,t,,,,,t,
t,,t,,t,t,,,t,t
t,,t,,,,,,t,
t,,t,,,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,,t,,t,,
t,t,,,t,,,t,,
t,t,,,t,,,t,,
t,,t,,t,t,,t,,
t,,,t,t,,,t,,t
t,,t,,t,t,,t,,t
t,t,,,t,t,,t,,t
t,t,,,,t,t,,,
t,,t,,t,t,,,t,
t,t,,,t,t,,,t,t
t,,,t,,,,t,,
t,,t,,t,t,,t,,
t,t,,,t,t,,t,,
t,t,,,t,t,,t,,t
t,,t,,,t,,,t,
t,,t,,t,,,,t,t
t,,,t,t,,,t,,
t,,,t,t,t,,t,,
t,t,,,t,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,t,t,,,t,
t,,t,,t,t,,,t,
t,t,,,,t,,,t,
t,t,,,t,t,,,t,t
t,,t,,t,,,t,,
t,,,t,t,t,,t,,
t,,t,,,t,,t,,t
t,t,,,t,,,t,,
t,,t,,,,,t,,
t,,,t,,,,,t,
t,,,t,,,,,t,
t,,t,,t,t,,,t,t
t,,t,,,,,,t,
t,,t,,,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,,t,,t,,
t,t,,,t,,,t,,
t,t,,,t,,,t,,
t,,t,,,,,t,,
t,,,t,,,,,t,
t,,,t,,,,,t,
t,,t,,t,t,,,t,t
t,,t,,,,,,t,
t,,t,,,t,,t,,t
t,,t,,t,t,,t,,
t,,t,,t,,,t,,t
t,,t,,,t,,t,,
t,t,,,t,,,t,,
t,t,,,t,,,t,,
t,,t,,t,t,,t,,
t,,,t,t,,,t,,t
t,,t,,t,t,,t,,t
t,t,,,t,t,,t,,t
t,t,,,,t,t,,,
t,,t,,t,t,,,t,
t,t,,,t,t,,,t,t
